,pred,real
500,-0.28125,5.097859020483958
501,2.98125,9.05721850268299
502,5.906250000000001,13.597194075319598
503,8.04375,18.46721240168957
504,10.51875,21.36864164003744
505,11.86875,23.92217003673925
506,14.231250000000001,26.25712232085133
507,15.468750000000002,27.075037814923967
508,16.03125,28.60433231323878
509,16.36875,29.354014673290763
510,18.168750000000003,30.333247932854302
511,18.16875,31.10825739050094
512,18.50625,31.02656883722926
513,19.181250000000002,31.284882231433407
514,20.08125,30.26820165750522
515,19.856250000000003,28.05495136889697
516,19.18125,25.714715198173117
517,17.26875,22.561589356437143
518,15.468750000000002,19.315889272587945
519,12.76875,15.243338312897434
520,10.293750000000001,10.719203961292443
521,8.15625,6.261658269607788
522,6.1312500000000005,3.2393122913829577
523,3.6562500000000004,0.7186481018770059
524,1.40625,-0.5615626108929933
525,0.50625,-0.8064629910283678
526,0.39375000000000004,-1.264385527329822
527,0.16875000000000004,-0.3951175282370787
528,0.39375000000000004,-0.1226426064000749
529,0.7312500000000001,0.8347160327782028
530,1.2937500000000002,-0.5774821874449395
531,1.18125,-2.374797822367487
532,-0.61875,-8.280547187568208
533,-3.7687500000000003,-14.2469246924465
534,-7.2562500000000005,-19.601183982613342
535,-10.856250000000001,-20.573568996617453
536,-13.55625,-20.578858431557045
537,-12.993750000000002,-19.67365428484612
538,-12.43125,-16.14472827205529
539,-10.51875,-14.857212366552307
540,-9.28125,-13.342783401217334
541,-8.71875,-12.391724357093958
542,-8.15625,-14.184083417378783
543,-9.39375,-15.900922528844957
544,-10.293750000000001,-15.420303110943143
545,-10.743750000000002,-15.360167621570485
546,-10.856250000000001,-12.448156883796347
547,-9.61875,-12.367069340712666
548,-9.168750000000001,-11.225261792731915
549,-7.93125,-8.511679850346452
550,-6.80625,-6.480124052250347
551,-5.45625,-2.9684695718558496
552,-3.2062500000000003,1.5230691070780258
553,-0.61875,7.518609310323694
554,3.54375,14.546889571738715
555,8.15625,22.127474102340138
556,12.20625,27.41696847371104
557,15.35625,29.847592392351345
558,18.168750000000003,30.539353644316986
559,18.95625,30.634880108555883
560,19.85625,30.28359144078693
561,18.50625,30.713318425297203
562,18.618750000000002,30.12781440569989
563,19.29375,31.076490121866065
564,19.40625,32.28759368382193
565,19.96875,31.73826121575812
566,19.85625,30.01304397878941
567,18.95625,25.665837938955818
568,17.606250000000003,21.20405290694111
569,15.01875,15.806929710220862
570,10.068750000000001,9.892327596445735
571,5.906250000000001,4.808039743023748
572,5.11875,2.530600189615821
573,2.53125,0.6717690874622051
574,1.06875,0.1293494424530893
575,0.39375000000000004,-0.2723424829724165
576,0.84375,1.3613281716122472
577,1.06875,1.0658323233646207
578,1.18125,0.1292905091041741
579,0.05625,-2.6785903369174733
580,-1.2937500000000002,-7.774240689394658
581,-3.20625,-10.54396287910702
582,-5.79375,-12.944550783511668
583,-7.8187500000000005,-13.33068746730786
584,-8.49375,-12.645070533721553
585,-9.05625,-12.549839977245496
586,-8.381250000000001,-11.63868029036225
587,-7.93125,-12.013094441073314
588,-8.26875,-14.151328503581244
589,-8.94375,-15.706343651574477
590,-10.63125,-18.76386318504709
