,real,pred
801,7.998278984043014,6.1875
802,5.854690878442742,3.375
803,3.799181843099647,1.6875
804,2.043246945058492,1.125
805,-1.108453484469768,-0.5625
806,-2.963718380129899,-2.25
807,-4.4592987172041685,-3.9375
808,-4.600788928506136,-3.375
809,-5.981931502998892,-3.9375
810,-6.288903199789433,-4.5
811,-6.573846809809463,-5.0625
812,-6.894997667206163,-4.5
813,-7.188748370960045,-6.1875
814,-7.312568744331403,-5.625
815,-7.314217737159664,-6.1875
816,-7.17654827468131,-4.5
817,-6.102114542818305,-6.1875
818,-5.246445447046484,-4.5
819,-3.292517207908568,-3.9375
820,-2.2146946283635165,-3.375
821,-0.9950602298838679,-1.6875
822,0.4976391098619677,-2.25
823,0.5453098492066053,-0.5625
824,0.6721436094086313,-0.0
825,0.8813403118452552,-0.5625
826,1.4700142604799795,1.125
827,2.319183712053369,0.5625
828,4.075625508888978,2.25
829,5.6600974259695365,2.8125
830,6.867359200985104,4.5
831,7.669703434084158,5.0625
832,8.449857280178232,5.625
833,9.399743886257825,3.9375
834,10.063814930371732,5.625
835,11.141732284906066,7.3125
836,9.862216546086447,6.75
837,10.36831898630705,6.1875
838,8.987974645315562,6.75
839,8.372458970807868,6.1875
840,8.098495951712982,6.75
841,8.427225825434148,5.0625
842,8.261100774164847,4.5
843,7.938007536931475,3.9375
844,6.90705888692962,3.375
845,5.7567947321141535,2.8125
846,5.0046661140427,3.375
847,2.772331336283779,2.8125
848,3.046226725771163,1.125
849,1.982658828627882,0.5625
850,1.0552704056317836,-0.0
851,0.15657997039720906,-0.5625
852,0.4606831484016858,-0.0
853,0.007630657681770625,-0.5625
854,-0.06444869150194354,-1.125
855,-0.5900522073199574,-1.6875
856,-1.4466642978468502,-0.0
857,-2.1024271644153707,-1.6875
858,-2.6412516760122484,-2.25
859,-2.9812854215891624,-2.8125
860,-2.9646991934502243,-3.375
861,-2.8060352696795,-1.6875
862,-2.698612832503368,-2.25
863,-2.231019373163768,-1.6875
864,-2.1709622925928977,-1.125
865,-1.7019577954549834,-1.6875
866,-1.2532983264835045,-1.125
867,-1.2595307962251507,-1.6875
868,-0.9439354567110247,-1.125
869,0.2882194374315932,-0.5625
870,1.1567888355929894,-0.0
871,1.886382787491198,-0.5625
872,2.374135891256908,1.125
873,3.397691755243623,0.5625
874,2.9393527492326577,2.25
875,3.368036252678146,1.6875
876,3.9957715421870716,2.25
877,4.757582500524757,1.6875
878,5.28276272682924,2.25
879,6.1385192863177895,2.8125
880,7.009461551866321,3.375
881,7.473070808015444,3.9375
882,7.845043900438616,4.5
883,7.9455794584604655,3.9375
884,7.741631138554465,4.5
885,7.925833785933265,3.9375
886,7.5013252727403605,4.5
887,7.334076575576261,2.8125
888,7.092018097896454,4.5
889,6.8992574201937655,2.8125
890,6.147935159789225,2.25
891,5.244801511831438,3.9375
892,4.720317888786193,3.375
893,3.817462348127706,1.6875
894,2.99612504515441,3.375
895,2.9220089449339453,2.8125
896,2.695836515664614,1.125
897,1.8271277156725405,0.5625
898,1.5227775015733214,2.25
899,0.42615028556235135,0.5625
900,-0.3488162705377418,-0.0
901,-1.006578936009405,-1.6875
902,-1.0731732633961806,-0.0
903,-0.750172621363945,0.5625
904,-0.35627602220329924,1.125
905,-0.6725182423396611,0.5625
906,-1.0808958163045235,1.125
907,-1.776392143374447,0.5625
908,-2.686668811791031,1.125
909,-2.9777063773678423,-1.6875
910,-3.0323400543598114,-2.25
911,-2.698023043705133,-2.8125
912,-2.1689575046752934,-2.25
913,-1.5628776952124193,-1.6875
914,-0.4201982714262741,-0.0
915,0.7888071403533194,-0.5625
916,1.8785879455819978,-1.125
917,2.8436621785083327,-0.5625
918,4.125807750995576,1.125
919,5.585810730401546,1.6875
920,6.293441198628357,2.25
921,6.567589965642818,3.9375
922,7.306978870755654,4.5
923,7.621634125069636,3.9375
924,7.112953040343127,4.5
925,7.123789999278556,5.0625
926,7.597399315898584,4.5
927,7.481173637145759,3.9375
928,8.062574704835777,4.5
929,8.608869364521853,5.0625
930,9.61039454988331,5.625
931,9.824488476453922,6.1875
932,9.180808003519376,5.625
933,8.545439573205035,5.0625
934,6.98919040437682,3.375
935,5.481370009400278,2.8125
936,4.1975698145162275,3.375
937,3.4731801890858316,1.6875
938,3.6300068737438265,1.125
939,2.7886609212383773,1.6875
940,1.7564921530650988,3.375
941,0.7111269587521816,1.6875
942,-0.2725770349339043,2.25
943,-1.0846146696407035,-0.5625
944,-2.0300763039076983,-0.0
945,-2.642208680810019,-0.5625
946,-3.3768906212485525,-3.375
947,-3.551998592763793,-2.8125
948,-2.763427653980384,-2.25
949,-2.4539151529237913,-1.6875
950,-2.1508405893817373,-1.125
951,-2.453229839070418,-1.6875
952,-2.2327708306458036,-2.25
953,-2.636650581606972,-1.6875
954,-3.0946345608879033,-2.25
955,-2.444839957444687,-2.8125
956,-1.2636163398023577,-1.125
957,-1.023992937763686,-1.6875
958,0.5708919160649135,-0.0
959,1.2232802041271194,-0.5625
960,1.4643242624126473,-0.0
961,1.900775503374936,0.5625
962,1.939435670521563,2.25
963,3.1371992294502986,1.6875
964,4.40391555320502,1.125
965,5.230050887155963,1.6875
966,6.3039469711191485,2.25
967,7.078124211336292,3.9375
968,7.911924972568939,4.5
969,8.063215793381065,5.0625
970,7.5383541928808855,5.625
971,7.354650430820704,5.0625
972,6.912233963140228,5.625
973,7.474370451072288,5.0625
974,7.247035632013877,5.625
975,7.816263018983562,3.9375
976,7.812529805411299,4.5
977,7.712901147455688,3.9375
978,7.119102675550889,4.5
979,6.754684738230188,3.9375
980,5.567714907492819,4.5
981,4.994973740360727,2.8125
982,4.335612156552229,3.375
983,3.6656381997676366,1.6875
984,3.7174823665027423,1.125
985,2.888803573311912,0.5625
986,2.4553185430795352,2.25
987,1.1838619740942178,0.5625
988,-0.4044196563829655,1.125
989,-1.491348216026576,-0.5625
990,-1.7414936019555993,-1.125
991,-1.8567084827167113,-1.6875
992,-2.150101413246479,-2.25
993,-2.239407454717031,-1.6875
994,-2.0611757748954145,-1.125
995,-2.142186880011378,-1.6875
996,-2.048667398321693,-1.125
997,-1.9799609514658256,-1.6875
998,-1.9070889736424201,-1.125
999,-2.0852523595791967,-0.5625
1000,-1.5112588363396227,-1.125
1001,-1.2671829925911142,-1.6875
1002,-0.5351366800345528,1.125
